u,v,length
42427159,42427164,79.26400000000001
42427159,42427156,56.432
42427164,42429006,134.43200000000002
42427164,42427159,79.26400000000001
42427164,42427168,73.289
42427168,60925950,97.759
42427168,42458936,79.305
42427168,42427164,73.28899999999999
42427185,60926076,77.75800000000001
42427185,42427190,108.22
42427185,42428094,196.40300000000002
42427190,42430951,82.682
42427190,42427196,141.076
42427190,42427185,108.22000000000001
42427190,42444097,85.516
42427196,42427206,142.92000000000002
42427196,42427190,141.076
42427206,42454089,81.21100000000001
42427206,42427212,197.87
42427206,42427196,142.92000000000002
42427212,1763608189,76.597
42427212,42427206,197.87
42427212,42427216,248.614
42427216,42436297,308.769
42427216,1205714875,268.89200000000005
42427216,42428144,86.89300000000001
42427216,42427212,248.614
42427236,42427242,215.61299999999997
42427242,42459820,35.537
42427242,42457311,75.149
42427249,42427251,95.002
42427249,42444424,41.965
42427251,42427254,58.871
42427251,42454798,37.717
42427251,42440350,77.538
42427254,42427256,90.4
42427254,42452708,34.519999999999996
42427256,42440356,65.984
42427256,42444242,30.226
42427278,4561384853,63.062
42427278,9121386338,11.089
42427300,42445466,91.487
42427300,42425955,159.98000000000002
42427300,42427305,75.36
42427305,42445474,89.749
42427305,42427307,150.185
42427307,42427311,89.06099999999999
42427307,42445481,75.795
42427311,42427316,52.115
42427311,42447255,76.727
42427316,42427319,84.95100000000001
42427316,5706569898,67.08800000000001
42427316,42440810,74.956
42427319,42427322,31.415999999999997
42427322,42427324,116.19999999999999
42427322,42439580,59.885
42427324,42439207,42.411
42427324,42427327,135.463
42427327,42430041,71.92099999999999
42427327,42432165,52.119
42427335,11038072465,7.222
42427335,42427337,111.464
42427335,42440408,222.81400000000002
42427337,42427340,66.808
42427340,42427345,57.235
42427340,42435538,74.94
42427345,42429806,77.90500000000002
42427345,7500756892,31.858
42427346,42437067,79.392
42427346,42427352,136.63400000000001
42427352,7552138519,135.31
42427352,42427358,141.333
42427358,1919595922,14.166
42427358,42449874,231.639
42427369,42428183,116.167
42427369,42454378,74.049
42427371,42427369,309.291
42427371,42430265,74.53099999999999
42427374,42427371,273.814
42427374,42439834,74.431
42427381,42427374,274.183
42427381,5849918502,74.161
42427386,42427381,277.697
42427386,42444916,74.051
42427390,42427393,224.07700000000003
42427390,42427386,269.908
42427390,42443676,73.783
42427393,42443677,79.56
42427411,9802614802,8.914
42427411,42427412,74.971
42427412,272196096,59.428
42427412,42440628,78.16
42427412,4145424858,64.065
42427412,9802614802,74.842
42427423,42428206,309.34
42427423,42430274,78.338
42427426,42427423,273.893
42427426,42437890,83.593
42427427,42427426,273.776
42427427,42435629,78.583
42427477,42427427,293.79800000000006
42427477,42437909,82.65299999999999
42427483,42453630,78.497
42427483,42427477,270.12600000000003
42427494,246580797,17.936
42427494,42445314,170.49800000000002
42427494,246580466,163.05700000000002
42427504,42444884,77.69
42427504,60915682,145.597
42427507,1544809872,21.836
42427507,42427504,132.355
42427507,1544809889,89.292
42427519,42436734,87.71
42427523,42427519,79.081
42427531,42427523,79.261
42427531,42448607,168.74900000000002
42427538,42427531,79.149
42427538,42448611,203.23900000000003
42427649,42427538,452.93600000000004
42427649,42438839,108.089
42427735,42427649,494.7879999999999
42427735,42433797,132.386
42427735,42438839,396.9200000000001
42427735,42447399,78.53
42427742,42452117,84.431
42427742,7499263656,38.657
42427744,42427742,77.87299999999999
42427744,7476469426,149.972
42427744,42432000,260.303
42427744,42437786,121.46099999999998
42427750,370888101,204.552
42427750,7476469426,77.18400000000001
42427762,42432818,86.316
42427762,42445947,155.85199999999998
42427764,42427762,59.988
42427768,42433346,80.059
42427768,42437942,79.33099999999999
42427769,42427768,134.24800000000002
42427769,1762221470,80.341
42427769,42433138,53.673
42427773,42427769,97.321
42427773,42433138,113.154
42427773,42437944,83.96799999999999
42427780,42427782,84.29799999999999
42427780,42429109,51.422000000000004
42427780,42429104,134.519
42427782,42427780,84.298
42427782,42454300,159.62099999999998
42427786,42427787,170.269
42427786,42438544,79.13
42427787,42427797,140.679
42427787,42428223,85.871
42427797,42430288,77.845
42427797,42427805,275.481
42427805,42427812,270.43
42427805,42438547,79.709
42427812,5545401594,278.751
42427812,4443775464,78.07300000000001
42427821,42437693,79.092
42427821,42427824,274.63
42427824,42430603,78.16199999999999
42427824,42427828,264.898
42427828,4899886584,19.144
42427828,42437699,83.059
42427834,1795811317,192.345
42427834,7541804761,85.367
42427834,42445585,78.432
42427844,1763749977,7.999
42427844,42427846,30.322
42427844,42429174,176.286
42427846,1764647103,23.33
42427849,1764647103,77.385
42427849,42427852,78.327
42427852,42431177,243.482
42427852,42427855,78.92599999999999
42427852,42427849,78.327
42427855,42429212,228.41599999999997
42427855,42427859,85.22800000000001
42427855,42427852,78.92599999999999
42427859,42427863,210.09699999999998
42427859,42427855,85.22800000000001
42427859,42432789,121.149
42427859,42432795,119.906
42427863,42437921,119.605
42427863,42445635,121.86699999999999
42427863,42427867,176.294
42427863,42427859,210.09699999999998
42427867,42437923,119.13800000000002
42427867,42427863,176.294
42427867,42427870,176.672
42427867,42446604,122.114
42427870,42427873,131.061
42427870,42431242,118.85
42427870,42431252,122.11399999999999
42427870,42427867,176.672
42427873,42455705,90.487
42427873,42427877,129.421
42427873,42437925,118.76199999999999
42427873,42427870,131.061
42427877,42445773,27.281
42427877,42455705,156.828
42427877,42427873,129.421
42427881,42427883,78.598
42427881,42439620,88.289
42427883,42427881,78.598
42427883,4205440429,49.231
42427883,42427888,79.327
42427888,42427891,80.69900000000001
42427888,42427883,79.327
42427891,42432980,83.188
42427891,42427894,151.70299999999997
42427891,42427888,80.69900000000001
42427894,4515465264,12.056
42427894,42439653,52.391
42427894,42427891,151.703
42427915,42440397,974.4369999999998
42427915,42433564,85.70899999999999
42427915,42443280,274.23400000000004
42427915,42424225,324.59600000000006
42427956,42421960,66.408
42427956,42437536,80.51999999999998
42427956,42431889,220.32800000000003
42427965,42424672,78.25600000000001
42427965,42436531,217.17600000000002
42427965,42427968,79.29200000000002
42427968,42427965,79.292
42427968,42427970,81.139
42427968,42451332,70.685
42427970,42429986,214.65299999999996
42427970,4886250352,54.182
42427970,42427968,81.139
42427970,42427972,78.104
42427972,42427975,79.91
42427972,42427970,78.10399999999998
42427975,42427972,79.91
42427975,42427979,79.70500000000001
42427979,42447237,215.36999999999998
42427979,42427975,79.70500000000001
42427979,42427985,79.00699999999999
42427985,42437451,214.34300000000002
42427985,42427979,79.007
42427985,42427991,79.55999999999999
42427991,1733612450,132.267
42427991,42427985,79.56000000000002
42427991,42427996,79.039
42427996,42455695,215.52200000000002
42427996,42427991,79.039
42427996,42428003,79.30900000000001
42428003,9906953435,62.989
42428003,42427996,79.30899999999998
42428003,42428005,81.148
42428005,42445247,215.974
42428005,42428007,85.992
42428005,42428003,81.148
42428007,596799866,181.73899999999998
42428007,42436492,216.717
42428007,42428005,85.992
42428007,42428010,86.653
42428010,596799891,178.94299999999998
42428010,42438805,216.804
42428010,42428012,80.064
42428010,42428007,86.653
42428012,371197453,216.82299999999998
42428012,42428013,81.01
42428012,42428010,80.06400000000001
42428013,589298326,225.924
42428013,42430075,216.25099999999998
42428013,42428014,81.148
42428013,42428012,81.01
42428014,6086355078,218.558
42428014,42428015,80.799
42428014,42428013,81.148
42428015,4562863353,222.865
42428015,42446478,214.97599999999997
42428015,42428016,80.12599999999999
42428015,42428014,80.799
42428016,42428015,80.12599999999999
42428016,42428020,86.85
42428020,42428022,86.38499999999999
42428020,42428016,86.85
42428020,42456060,216.01
42428020,42451744,227.99900000000002
42428022,42438513,226.897
42428022,42428024,80.437
42428022,42428020,86.38499999999999
42428024,42452956,216.87199999999999
42428024,42428027,80.58
42428024,42428022,80.43699999999998
42428027,42439416,226.9
42428027,42428029,80.30000000000001
42428027,42428024,80.58
42428029,42448254,216.936
42428029,42428032,81.176
42428029,42428027,80.30000000000001
42428032,42435522,226.68300000000002
42428032,42428034,80.119
42428032,42428029,81.176
42428034,42456066,216.96
42428034,42428037,87.28999999999999
42428034,42428032,80.119
42428037,42428034,87.28999999999999
42428037,42428039,85.101
42428037,42429348,225.911
42428037,42429342,217.18599999999998
42428039,42454196,216.767
42428039,42428037,85.10100000000001
42428039,42428043,79.563
42428043,42445757,223.911
42428043,42428039,79.563
42428043,42428045,81.927
42428045,42436551,216.006
42428045,42428043,81.927
42428045,42428047,77.937
42428047,42428045,77.93699999999998
